sales_region_code,item_code,first_cate_code,second_cate_code
101,20597,302,408
101,20600,307,403
101,20604,307,403
101,20614,304,409
101,20616,306,407
101,20618,307,403
101,20624,302,408
101,20625,302,408
101,20627,307,403
101,20628,303,401
101,20631,307,403
101,20635,302,408
101,20636,306,407
101,20648,305,412
101,20649,308,404
101,20653,305,412
101,20654,307,403
101,20655,306,407
101,20656,305,412
101,20657,303,410
101,20658,305,412
101,20661,302,408
101,20662,305,412
101,20664,307,403
101,20666,307,403
101,20668,304,409
101,20672,302,408
101,20674,308,404
101,20675,307,403
101,20678,303,401
101,20682,306,407
101,20683,302,408
101,20687,307,403
101,20688,303,401
101,20689,303,401
101,20692,308,404
101,20693,308,404
101,20696,305,412
101,20697,304,409
101,20699,306,407
101,20700,306,407
101,20701,302,408
101,20704,307,403
101,20707,306,407
101,20712,306,407
101,20714,305,412
101,20716,303,401
101,20717,303,401
101,20720,303,401
101,20722,306,407
101,20727,302,408
101,20729,306,407
101,20731,302,408
101,20734,306,407
101,20736,308,404
101,20738,305,412
101,20739,305,412
101,20740,304,409
101,20742,308,404
101,20743,305,412
101,20744,302,408
101,20750,306,407
101,20753,308,404
101,20759,302,408
101,20763,308,404
101,20764,305,412
101,20766,306,407
101,20768,308,404
101,20775,306,407
101,20777,308,404
101,20780,306,407
101,20782,303,406
101,20786,303,401
101,20795,307,403
101,20797,305,412
101,20803,304,409
101,20804,302,408
101,20805,306,407
101,20808,306,407
101,20810,306,407
101,20816,306,407
101,20820,306,407
101,20822,306,407
101,20827,303,401
101,20828,305,412
101,20830,307,403
101,20831,306,407
101,20840,303,401
101,20841,307,403
101,20842,308,404
101,20846,302,408
101,20849,305,412
101,20854,302,408
101,20855,306,407
101,20858,303,401
101,20859,306,407
101,20862,307,403
101,20868,308,404
101,20876,304,409
101,20877,308,404
101,20879,305,412
101,20880,305,412
101,20882,306,407
101,20886,303,410
101,20892,306,407
101,20896,307,403
101,20900,306,407
101,20901,303,410
101,20911,301,405
101,20912,305,412
101,20913,306,407
101,20915,304,409
101,20916,306,407
101,20920,306,407
101,20922,305,412
101,20929,308,404
101,20932,303,401
101,20934,305,412
101,20940,303,410
101,20942,305,412
101,20944,301,405
101,20947,306,407
101,20953,302,408
101,20956,307,403
101,20957,305,412
101,20964,306,407
101,20973,306,407
101,20976,306,407
101,20978,305,412
101,20980,303,401
101,20981,304,409
101,20984,306,407
101,20985,303,401
101,20992,303,411
101,20993,306,407
101,20996,306,407
101,20997,305,412
101,20999,305,412
101,21000,301,405
101,21005,306,407
101,21016,308,404
101,21023,306,407
101,21026,306,407
101,21027,302,408
101,21028,306,407
101,21034,306,407
101,21036,303,406
101,21038,308,404
101,21039,306,407
101,21043,306,407
101,21044,302,408
101,21046,302,408
101,21049,304,409
101,21053,306,407
101,21054,308,404
101,21057,303,401
101,21059,302,408
101,21061,308,404
101,21062,302,408
101,21064,308,404
101,21067,302,408
101,21068,305,412
101,21069,303,401
101,21076,302,408
101,21081,307,403
101,21082,306,407
101,21084,306,407
101,21088,301,405
101,21090,302,408
101,21094,306,407
101,21096,305,412
101,21100,302,408
101,21101,308,404
101,21103,306,407
101,21106,306,407
101,21109,302,408
101,21110,307,403
101,21111,303,410
101,21115,307,403
101,21119,305,412
101,21121,305,412
101,21123,303,406
101,21124,307,403
101,21125,304,409
101,21127,302,408
101,21129,302,408
101,21147,306,407
101,21149,304,409
101,21154,306,407
101,21157,308,404
101,21158,306,407
101,21160,306,407
101,21166,305,412
101,21168,308,404
101,21174,305,412
101,21182,303,401
101,21183,307,403
101,21184,303,401
101,21185,307,403
101,21188,303,410
101,21192,303,411
101,21195,302,408
101,21198,306,407
101,21201,306,407
101,21212,306,407
101,21215,303,401
101,21220,305,412
101,21221,306,407
101,21225,306,407
101,21230,305,412
101,21236,303,410
101,21237,306,407
101,21238,308,404
101,21239,306,407
101,21240,302,408
101,21245,302,408
101,21249,307,403
101,21253,306,407
101,21255,306,407
101,21260,301,405
101,21268,307,403
101,21271,306,407
101,21274,305,412
101,21280,306,407
101,21284,306,407
101,21285,306,407
101,21290,305,412
101,21292,303,410
101,21293,306,407
101,21296,304,409
101,21297,306,407
101,21298,306,407
101,21304,302,408
101,21306,306,407
101,21312,302,408
101,21314,308,404
101,21318,303,401
101,21320,306,407
101,21328,303,410
101,21329,308,404
101,21330,303,401
101,21340,304,409
101,21346,306,407
101,21354,308,404
101,21357,303,406
101,21358,306,407
101,21359,306,407
101,21361,303,401
101,21363,305,412
101,21371,305,412
101,21373,306,407
101,21376,308,404
101,21379,305,412
101,21381,306,407
101,21386,306,407
101,21394,306,407
101,21398,308,404
101,21406,303,401
101,21407,308,404
101,21409,303,410
101,21410,306,407
101,21415,305,412
101,21416,308,404
101,21418,303,410
101,21420,307,403
101,21424,306,407
101,21425,307,403
101,21430,306,407
101,21431,302,408
101,21432,308,404
101,21433,304,409
101,21435,308,404
101,21437,302,408
101,21440,305,412
101,21443,305,412
101,21444,307,403
101,21446,308,404
101,21454,304,409
101,21456,306,407
101,21460,303,406
101,21462,308,404
101,21465,302,408
101,21467,306,407
101,21468,305,412
101,21477,303,411
101,21484,305,412
101,21488,307,403
101,21490,306,407
101,21492,306,407
101,21496,307,403
101,21497,306,407
101,21501,306,407
101,21502,302,408
101,21507,306,407
101,21509,305,412
101,21521,306,407
101,21523,306,407
101,21524,307,403
101,21527,306,407
101,21529,304,409
101,21531,302,408
101,21532,304,409
101,21533,306,407
101,21543,307,403
101,21549,307,403
101,21550,301,405
101,21555,303,410
101,21557,307,403
101,21558,302,408
101,21561,306,407
101,21573,306,407
101,21579,306,407
101,21583,305,412
101,21585,302,408
101,21589,306,407
101,21596,302,408
101,21597,302,408
101,21601,306,407
101,21602,306,407
101,21605,303,401
101,21606,302,408
101,21607,306,407
101,21612,304,409
101,21614,306,407
101,21617,303,401
101,21619,306,402
101,21626,308,404
101,21630,308,404
101,21631,302,408
101,21637,305,412
101,21639,308,404
101,21640,303,401
101,21642,303,401
101,21644,303,401
101,21648,306,407
101,21650,303,401
101,21651,308,404
101,21652,302,408
101,21653,306,407
101,21659,306,407
101,21667,307,403
101,21669,305,412
101,21681,302,408
101,21683,302,408
101,21684,304,409
101,21687,306,407
101,21690,303,401
101,21698,308,404
101,21703,305,412
101,21707,307,403
101,21709,302,408
101,21714,302,408
101,21715,302,408
101,21719,306,407
101,21730,302,408
101,21731,301,405
101,21735,306,407
101,21737,307,403
101,21740,307,403
101,21743,307,403
101,21745,303,401
101,21749,303,401
101,21751,306,402
101,21754,305,412
101,21755,307,403
101,21757,303,406
101,21760,302,408
101,21764,302,408
101,21772,307,403
101,21775,302,408
101,21777,302,408
101,21779,307,403
101,21780,306,407
101,21781,307,403
101,21785,305,412
101,21787,302,408
101,21791,302,408
101,21793,303,411
101,21794,306,407
101,21795,306,407
101,21807,303,410
101,21808,303,410
101,21809,307,403
101,21812,303,401
101,21814,306,407
101,21819,306,402
101,21822,307,403
101,21823,302,408
101,21835,308,404
101,21839,307,403
101,21845,302,408
101,21850,305,412
101,21851,303,401
101,21853,306,407
101,21855,302,408
101,21862,308,404
101,21864,302,408
101,21865,306,407
101,21867,301,405
101,21871,306,407
101,21878,305,412
101,21879,306,407
101,21881,306,407
101,21883,306,407
101,21884,306,407
101,21895,308,404
101,21900,307,403
101,21903,305,412
101,21909,303,401
101,21911,306,407
101,21913,306,407
101,21914,306,407
101,21915,303,410
101,21916,305,412
101,21917,305,412
101,21922,306,407
101,21923,307,403
101,21928,308,404
101,21940,303,401
101,21942,306,407
101,21951,307,403
101,21953,307,403
101,21961,308,404
101,21962,303,401
101,21964,303,410
101,21966,307,403
101,21967,302,408
101,21969,303,410
101,21974,306,407
101,21977,307,403
101,21978,307,403
101,21980,303,401
101,21982,305,412
101,21986,301,405
101,21995,306,407
101,22007,302,408
101,22008,308,404
101,22013,303,401
101,22015,304,409
101,22020,302,408
101,22021,307,403
101,22025,306,407
101,22027,306,402
101,22028,305,412
101,22030,307,403
101,22035,305,412
101,22038,306,407
101,22040,304,409
101,22045,302,408
101,22046,305,412
101,22047,306,407
101,22048,306,407
101,22053,306,407
101,22056,302,408
101,22058,302,408
101,22059,305,412
101,22066,307,403
101,22075,307,403
101,22081,303,401
101,22082,305,412
101,22084,302,408
102,20002,303,406
102,20003,301,405
102,20006,307,403
102,20008,303,401
102,20011,303,401
102,20014,307,403
102,20016,303,401
102,20018,306,407
102,20020,305,412
102,20024,306,402
102,20025,302,408
102,20033,307,403
102,20038,307,403
102,20041,302,408
102,20044,308,404
102,20046,303,401
102,20049,302,408
102,20053,303,410
102,20055,304,409
102,20056,302,408
102,20074,308,404
102,20075,308,404
102,20076,303,401
102,20085,301,405
102,20088,308,404
102,20089,307,403
102,20090,302,408
102,20091,308,404
102,20092,306,407
102,20093,306,407
102,20107,306,407
102,20111,306,407
102,20113,308,404
102,20118,305,412
102,20121,306,407
102,20127,307,403
102,20131,306,407
102,20134,305,412
102,20135,303,401
102,20139,306,407
102,20145,306,407
102,20146,306,402
102,20149,302,408
102,20150,304,409
102,20152,305,412
102,20155,303,401
102,20156,305,412
102,20160,303,410
102,20162,302,408
102,20164,306,407
102,20165,305,412
102,20168,302,408
102,20169,308,404
102,20172,306,407
102,20173,303,401
102,20175,304,409
102,20176,307,403
102,20182,303,401
102,20187,302,408
102,20189,305,412
102,20191,305,412
102,20192,308,404
102,20195,302,408
102,20198,303,401
102,20206,305,412
102,20215,302,408
102,20221,306,407
102,20222,302,408
102,20224,307,403
102,20226,303,401
102,20227,308,404
102,20230,306,407
102,20231,305,412
102,20235,303,411
102,20240,306,407
102,20251,303,406
102,20252,306,407
102,20253,306,407
102,20254,303,401
102,20256,307,403
102,20258,306,407
102,20261,304,409
102,20267,303,401
102,20271,306,407
102,20272,308,404
102,20276,306,407
102,20278,305,412
102,20283,306,407
102,20284,304,409
102,20285,305,412
102,20291,306,407
102,20292,305,412
102,20300,305,412
102,20304,302,408
102,20311,307,403
102,20312,306,407
102,20313,305,412
102,20316,301,405
102,20320,306,407
102,20321,302,408
102,20323,305,412
102,20324,303,401
102,20325,308,404
102,20328,306,407
102,20329,308,404
102,20336,303,401
102,20337,302,408
102,20341,308,404
102,20343,304,409
102,20344,308,404
102,20346,306,407
102,20347,308,404
102,20356,308,404
102,20357,301,405
102,20366,302,408
102,20368,306,407
102,20377,303,410
102,20385,306,407
102,20387,305,412
102,20389,302,408
102,20391,306,407
102,20392,306,407
102,20394,303,406
102,20397,307,403
102,20398,303,401
102,20403,306,407
102,20404,303,401
102,20405,302,408
102,20407,305,412
102,20408,302,408
102,20412,306,407
102,20413,306,407
102,20414,308,404
102,20416,301,405
102,20418,307,403
102,20419,306,407
102,20422,302,408
102,20424,306,407
102,20427,302,408
102,20433,305,412
102,20434,306,407
102,20438,304,409
102,20443,303,410
102,20445,303,401
102,20447,304,409
102,20449,306,407
102,20452,301,405
102,20457,305,412
102,20459,305,412
102,20461,303,406
102,20462,302,408
102,20463,304,409
102,20472,308,404
102,20473,306,407
102,20476,307,403
102,20478,302,408
102,20480,307,403
102,20483,305,412
102,20490,304,409
102,20492,307,403
102,20494,304,409
102,20501,306,407
102,20502,305,412
102,20503,308,404
102,20504,307,403
102,20506,303,401
102,20512,308,404
102,20515,305,412
102,20522,305,412
102,20523,308,404
102,20525,301,405
102,20528,303,410
102,20531,307,403
102,20540,303,401
102,20545,305,412
102,20546,302,408
102,20549,307,403
102,20552,308,404
102,20554,305,412
102,20555,308,404
102,20561,303,401
102,20563,303,401
102,20567,303,406
102,20569,303,401
102,20576,302,408
102,20580,302,408
102,20583,306,407
102,20584,306,407
102,20587,306,407
102,20590,306,407
102,20596,302,408
102,20597,302,408
102,20600,307,403
102,20604,307,403
102,20610,303,410
102,20614,304,409
102,20618,307,403
102,20620,302,408
102,20627,307,403
102,20628,303,401
102,20631,307,403
102,20636,306,407
102,20637,306,407
102,20648,305,412
102,20649,308,404
1
